Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
267148.0	241097.0	4000	400	125.0	1.0

267148.0	209858.0	1000	100	1.0	0.001

267148.0	232520.0	2000	100	1.0	0.01

267148.0	164506.0	3000	100	1.0	0.1

267148.0	249582.0	4000	100	1.0	1.0

267148.0	238142.0	1000	200	5.0	0.001

267148.0	223075.0	2000	200	5.0	0.01

267148.0	198502.0	3000	200	5.0	0.1

267148.0	234386.0	4000	200	5.0	1.0

267148.0	206837.0	1000	300	25.0	0.001

267148.0	209209.0	2000	300	25.0	0.01

267148.0	192184.0	3000	300	25.0	0.1

267148.0	207227.0	4000	300	25.0	1.0

267148.0	247406.0	1000	400	125.0	0.001

267148.0	178163.0	2000	400	125.0	0.01

267148.0	180384.0	3000	400	125.0	0.1

267148.0	272267.0	4000	400	125.0	1.0

267148.0	213322.0	1000	100	1.0	0.001

267148.0	194936.0	2000	100	1.0	0.01

267148.0	171894.0	3000	100	1.0	0.1

267148.0	222497.0	4000	100	1.0	1.0

267148.0	197878.0	1000	200	5.0	0.001

267148.0	208308.0	2000	200	5.0	0.01

