Cost1	Time1	UC1	Cost2	Time2	UC2	Cost3	Time3	UC3	Cost4	Time4	UC4
136825.0	46654	118275.0	30086	49244.0	27168	53708.0	286010
148954.0	38844	91777.0	33036	68494.0	29847	61822.0	29169
135626.0	36424	96629.0	32366	92190.0	30178	83377.0	328910
178998.0	38434	168521.0	40266	120027.0	36888	94352.0	318610
309621.0	38624	152583.0	35716	140103.0	34768	79458.0	341810
276034.0	40604	240676.0	37336	190300.0	33267	113149.0	29349
117876.0	38894	88170.0	32776	81174.0	34358	68223.0	324610
153139.0	37544	101899.0	32606	73650.0	30008	64820.0	29739
161235.0	42674	122818.0	35336	79930.0	28558	72407.0	299910
186758.0	40474	113956.0	29846	78912.0	26548	87070.0	266110
