Dummy Sequential	Simple Greedy	Distance Greedy
134363.0	135754.0	133714.0
113636.0	119774.0	106872.0
265757.0	255540.0	245097.0
149938.0	157329.0	143250.0
229793.0	215981.0	215947.0
154755.0	155953.0	154544.0
161881.0	164720.0	161084.0
166751.0	162348.0	161860.0
241997.0	261655.0	225139.0
216399.0	212044.0	205502.0
